"State","Year","Total Children Under 18"
"Alabama","2021","1122252"
"Alaska","2021","179356"
"Arizona","2021","1613988"
"Arkansas","2021","703389"
"California","2021","8772631"
"Colorado","2021","1243456"
"Connecticut","2021","729710"
"Delaware","2021","208294"
"District of Columbia","2021","125835"
"Florida","2021","4289280"
"Georgia","2021","2524302"
"Hawaii","2021","304399"
"Idaho","2021","469026"
"Illinois","2021","2803224"
"Indiana","2021","1587006"
"Iowa","2021","736376"
"Kansas","2021","703064"
"Kentucky","2021","1015912"
"Louisiana","2021","1082943"
"Maine","2021","251909"
"Maryland","2021","1363304"
"Massachusetts","2021","1362133"
"Michigan","2021","2153379"
"Minnesota","2021","1317567"
"Mississippi","2021","692835"
"Missouri","2021","1384557"
"Montana","2021","235070"
"Nebraska","2021","482884"
"Nevada","2021","698748"
"New Hampshire","2021","256376"
"New Jersey","2021","2023128"
"New Mexico","2021","473221"
"New York","2021","4113323"
"North Carolina","2021","2301503"
"North Dakota","2021","185701"
"Ohio","2021","2605629"
"Oklahoma","2021","961530"
"Oregon","2021","861351"
"Pennsylvania","2021","2674009"
"Puerto Rico","2021","545790"
"Rhode Island","2021","208827"
"South Carolina","2021","1117092"
"South Dakota","2021","220429"
"Tennessee","2021","1540674"
"Texas","2021","7475433"
"Utah","2021","947243"
"Vermont","2021","116976"
"Virginia","2021","1884826"
"Washington","2021","1676122"
"West Virginia","2021","359031"
"Wisconsin","2021","1274756"
"Wyoming","2021","132424"