"State","Year","Children Maltreated While in Foster Care (%)","Children Not Maltreated While in Foster Care (%)","Number of Children in Foster Care During FY"
"Alabama","2018","0.17","99.83","9561"
"Alaska","2018","1.51","98.49","4032"
"Arizona","2018","0.12","99.88","23909"
"Arkansas","2018","0.13","99.87","7811"
"California","2018","0.19","99.81","78215"
"Colorado","2018","0.47","99.53","10283"
"Connecticut","2018","0.03","99.97","5788"
"Delaware","2018","0","100","1089"
"District of Columbia","2018","0.56","99.44","1068"
"Florida","2018","0.01","99.99","39909"
"Georgia","2018","0.18","99.82","21050"
"Hawaii","2018","0.11","99.89","2730"
"Idaho","2018","0","100","2956"
"Illinois","2018","0.6","99.4","21118"
"Indiana","2018","0.2","99.8","30693"
"Iowa","2018","0.48","99.52","9866"
"Kansas","2018","0.16","99.84","11764"
"Kentucky","2018","0.5","99.5","15348"
"Louisiana","2018","NaN","NaN","NaN"
"Maine","2018","0.75","99.25","2651"
"Maryland","2018","0.55","99.45","6210"
"Massachusetts","2018","1.22","98.78","16457"
"Michigan","2018","0.71","99.29","18105"
"Minnesota","2018","0.7","99.3","16042"
"Mississippi","2018","1.26","98.74","7882"
"Missouri","2018","0.27","99.73","19218"
"Montana","2018","0.84","99.16","6098"
"Nebraska","2018","0.15","99.85","5962"
"Nevada","2018","0.24","99.76","7497"
"New Hampshire","2018","0","100","2140"
"New Jersey","2018","0.32","99.68","9382"
"New Mexico","2018","0.19","99.81","4299"
"New York","2018","1.68","98.32","24991"
"North Carolina","2018","0.37","99.63","15241"
"North Dakota","2018","0.15","99.85","2613"
"Ohio","2018","0.43","99.57","26744"
"Oklahoma","2018","1.09","98.91","13962"
"Oregon","2018","0.74","99.26","11141"
"Pennsylvania","2018","0.11","99.89","26497"
"Puerto Rico","2018","0.27","99.73","2188"
"Rhode Island","2018","1.8","98.2","3109"
"South Carolina","2018","0.67","99.33","8047"
"South Dakota","2018","0.04","99.96","2705"
"Tennessee","2018","0.19","99.81","14170"
"Texas","2018","0.23","99.77","52361"
"Utah","2018","0.43","99.57","4874"
"Vermont","2018","0.15","99.85","2045"
"Virginia","2018","0.13","99.87","7754"
"Washington","2018","0.07","99.93","16821"
"West Virginia","2018","0.11","99.89","11642"
"Wisconsin","2018","0.26","99.74","12540"
"Wyoming","2018","0.24","99.76","2098"